ente_dg_o_presidente,nome,cognome,sesso,link
Area di Ricerca Scientifica e Tecnologica di Trieste - Area Science Park,Anna,Sirica,F,https://www.mur.gov.it/it/aree-tematiche/ricerca/il-sistema-della-ricerca/enti-di-ricerca-pubblici/area-di-ricerca
Agenzia Spaziale Italiana - ASI,Fabrizio,Tosone,M,https://www.mur.gov.it/it/aree-tematiche/ricerca/il-sistema-della-ricerca/enti-di-ricerca-pubblici/agenzia-spaziale-italiana
Consiglio Nazionale delle Ricerche - CNR,Giuseppe,Colpani,M,https://www.mur.gov.it/it/aree-tematiche/ricerca/il-sistema-della-ricerca/enti-di-ricerca-pubblici/consiglio-nazionale-delle
Istituto Italiano di Studi Germanici,Roberto,Tatarelli,M,https://www.mur.gov.it/it/aree-tematiche/ricerca/il-sistema-della-ricerca/enti-di-ricerca-pubblici/istituto-italiano-di-studi
Istituto Nazionale di Astrofisica - INAF,Gaetano,Telesio,M,https://www.mur.gov.it/it/aree-tematiche/ricerca/il-sistema-della-ricerca/enti-di-ricerca-pubblici/istituto-nazionale-di-2
"Istituto Nazionale di Alta Matematica ""Francesco Severi"" - INDAM",Custode,Lofiego,M,https://www.mur.gov.it/it/aree-tematiche/ricerca/il-sistema-della-ricerca/enti-di-ricerca-pubblici/istituto-nazionale-di-alta
Istituto Nazionale di Fisica Nucleare - INFN,Nando,Minella,M,https://www.mur.gov.it/it/aree-tematiche/ricerca/il-sistema-della-ricerca/enti-di-ricerca-pubblici/istituto-nazionale-di-6
Istituto Nazionale di Geofisica e Vulcanologia - I.N.G.V,Massimo,Bilotta,M,https://www.mur.gov.it/it/aree-tematiche/ricerca/il-sistema-della-ricerca/enti-di-ricerca-pubblici/istituto-nazionale-di-11
Istituto Nazionale di Oceanografia e di Geofisica Sperimentale - OGS,Paola,Del Negro,F,https://www.mur.gov.it/it/aree-tematiche/ricerca/il-sistema-della-ricerca/enti-di-ricerca-pubblici/istituto-nazionale-di
Istituto nazionale di ricerca metrologica - I.N.RI.M.,Moreno,Tivan,M,https://www.mur.gov.it/it/aree-tematiche/ricerca/il-sistema-della-ricerca/enti-di-ricerca-pubblici/istituto-nazionale-di-9
"Museo Storico della Fisica e Centro Studi e Ricerche ""Enrico Fermi"" - CREF",Angela,Bracco,F,https://www.mur.gov.it/it/aree-tematiche/ricerca/il-sistema-della-ricerca/enti-di-ricerca-pubblici/museo-storico-della-fisica
"Stazione Zoologica ""ANTON DOHRN""",Fabrizio,Vecchi,M,https://www.mur.gov.it/it/aree-tematiche/ricerca/il-sistema-della-ricerca/enti-di-ricerca-pubblici/stazione-zoologica-anton
Istituto nazionale di documentazione innovazione e ricerca educativa â€“ INDIRE,Flaminio,Galli,M,https://www.mur.gov.it/it/aree-tematiche/ricerca/il-sistema-della-ricerca/enti-di-ricerca-pubblici/istituto-nazionale-di-13
Istituto nazionale per la valutazione del sistema educativo di istruzione e di formazione - INVALSI,Cinzia,Santarelli,F,https://www.mur.gov.it/it/aree-tematiche/ricerca/il-sistema-della-ricerca/enti-di-ricerca-pubblici/istituto-nazionale-la
