senatore,nome,cognome,s,iniziomandato,legislatura,tipomandato
http://dati.senato.it/senatore/32,Maria Elisabetta,Alberti Casellati,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32578,Alessandro,Alfieri,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36381,Vincenza,Aloisio,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36382,Paola,Ambrogio,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/31010,Bartolomeo,Amidei,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36383,Renato,Ancorotti,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/17542,Alberto,Balboni,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32583,Alberto,Barachini,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36431,Michele,Barcaiuolo,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/29270,Lorenzo,Basso,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/29273,Alfredo,Bazoli,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32586,Giorgio Maria,Bergesio,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/25558,Anna Maria,Bernini,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36384,Gianni,Berrino,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36385,Dolores,Bevilacqua,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/22871,Michaela,Biancofiore,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32851,Anna,Bilotti,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36386,Mara,Bizzotto,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/25555,Francesco,Boccia,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/22877,Giulia,Bongiorno,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/29291,Mario Alejandro,Borghese,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/29292,Stefano,Borghesi,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/33070,Claudio,Borghi,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/29293,Enrico,Borghi,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32590,Lucia,Borgonzoni,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32856,Carmela,Bucalo,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/407,Alessio,Butti,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/34485,Nicola,Calandrini,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/422,Roberto,Calderoli,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/30110,Carlo,Calenda,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36432,Susanna Donatella,Campione,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36392,Susanna Lina Giulia,Camusso,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32862,Gianluca,Cantalamessa,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32598,Maria Cristina,Cantu',F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/520,Pier Ferdinando,Casini,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36388,Guido,Castelli,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32600,Maria Domenica,Castellone,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/33065,Roberto,Cataldi,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/30511,Elena,Cattaneo,F,2022-10-13,19,"a vita, di nomina del Presidente della Repubblica"
http://dati.senato.it/senatore/29067,Gian Marco,Centinaio,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32603,Luca,Ciriani,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/22910,Giulia,Cosenza,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/22914,Stefania Gabriella Anastasia,Craxi,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36387,Andrea,Crisanti,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32608,Marco,Croatti,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36390,Ilaria,Cucchi,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/31875,Cecilia,D'Elia,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36391,Concetta,Damante,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32747,Dario,Damiani,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32898,Luca,De Carlo,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/22918,Peppe,De Cristofaro,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/22814,Antonio,De Poli,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36393,Andrea,De Priamo,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36394,Raffaele,De Rosa,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36395,Costanzo,Della Porta,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/28670,Graziano,Delrio,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32619,Gabriella,Di Girolamo,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36396,Marco,Dreosto,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/33096,Claudio,Durigon,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32624,Meinhard,Durnwalder,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36398,Anna Maria,Fallucchi,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36397,Marta,Farolfi,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32628,Giovanbattista,Fazzolari,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/4192,Claudio,Fazzone,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/30294,Michele,Fina,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36399,Aurora,Floridia,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32634,Barbara,Floridia,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36400,Silvio,Franceschelli,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/5799,Dario,Franceschini,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/29406,Silvia,Fregolent,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/31725,Annamaria,Furlan,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32637,Adriano,Galliani,M,2023-10-30,19,elettivo
http://dati.senato.it/senatore/22963,Massimo,Garavaglia,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/18121,Daniela,Garnero Santanche',F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/1103,Maurizio,Gasparri,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32640,Felicia,Gaudiano,F,2025-01-08,19,elettivo
http://dati.senato.it/senatore/36433,Matteo,Gelmetti,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/22966,Mariastella,Gelmini,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/1116,Antonino,Germana',M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/29105,Francesco,Giacobbe,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/29425,Andrea,Giorgis,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/1227,Antonio,Guidi,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32644,Barbara,Guidolin,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32645,Antonio,Iannone,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36401,Nicola,Irto,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/29447,Francesca,La Marca,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32650,Patrizio Giacomo,La Pietra,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/1275,Ignazio,La Russa,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36402,Elena,Leonardi,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32653,Ettore Antonio,Licheri,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36434,Sabrina,Licheri,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36403,Guido Quintino,Liris,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36435,Marco,Lisei,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36436,Marco,Lombardo,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36404,Ada,Lopreiato,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32655,Pietro,Lorefice,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/25474,Beatrice,Lorenzin,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/18055,Alberto,Losacco,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36405,Claudio,Lotito,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/33946,Gianpietro,Maffoni,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36437,Tino,Magni,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32658,Alessandra,Maiorino,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/1407,Lucio,Malan,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/29467,Simona Flavia,Malpezzi,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32660,Daniele,Manca,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36438,Paola,Mancini,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36439,Paolo,Marcheschi,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/17924,Andrea,Martella,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/29480,Roberto,Marti,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/29132,Bruno,Marton,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36440,Domenico,Matera,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36406,Orfeo,Mazzella,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36407,Filippo,Melchiorre,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/29490,Marco,Meloni,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/1558,Roberto,Menia,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/34558,Lavinia,Mennuni,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36408,Ester,Mieli,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36013,Tilde,Minasi,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/29138,Franco,Mirabelli,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/23011,Antonio,Misiani,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/28543,Mario,Monti,M,2022-10-13,19,"a vita, di nomina del Presidente della Repubblica"
http://dati.senato.it/senatore/32988,Alessandro,Morelli,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/33110,Elena,Murelli,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36409,Dafne,Musolino,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/28306,Nello,Musumeci,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/25446,Gaetano,Nastri,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32673,Gisella,Naturale,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36410,Luigi,Nave,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36411,Antonio,Nicita,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36412,Vita Maria,Nocco,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36413,Mario,Occhiuto,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36414,Fausto,Orsomarso,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32677,Andrea,Ostellari,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/34243,Andrea,Paganella,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/33005,Raffaella,Paita,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/4512,Adriano,Paroli,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/29521,Dario,Parrini,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36415,Pietro,Patton,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32681,Stefano,Patuanelli,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/35489,Cinzia,Pellegrino,F,2023-05-09,19,elettivo
http://dati.senato.it/senatore/3900,Marcello,Pera,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/25429,Giovanna,Petrenga,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36416,Simona,Petrucci,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/30512,Renzo,Piano,M,2022-10-13,19,"a vita, di nomina del Presidente della Repubblica"
http://dati.senato.it/senatore/36417,Luca,Pirondini,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/18562,Daisy,Pirovano,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32691,Elisa,Pirro,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36441,Salvo,Pogliese,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/33022,Manfredi,Potenti,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32697,Stefania,Pucciarelli,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36418,Vincenza,Rando,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36419,Ernesto,Rapani,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36442,Sergio,Rastrelli,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32699,Isabella,Rauti,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/30742,Matteo,Renzi,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32703,Tatjana,Rojc,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32706,Massimiliano,Romeo,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32707,Licia,Ronzulli,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36420,Gianni,Rosa,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32779,Roberto,Rosso,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/25411,Anna,Rossomando,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/30510,Carlo,Rubbia,M,2022-10-13,19,"a vita, di nomina del Presidente della Repubblica"
http://dati.senato.it/senatore/36421,Raoul,Russo,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36422,Salvatore,Sallemi,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/25407,Matteo,Salvini,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36443,Giorgio,Salvitti,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36444,Giovanni,Satta,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/25402,Daniela,Sbrollini,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/29573,Ivan,Scalfarotto,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36423,Roberto Maria Ferdinando,Scarpinato,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/33863,Marco,Scurria,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32435,Liliana,Segre,F,2022-10-13,19,"a vita, di nomina del Presidente della Repubblica"
http://dati.senato.it/senatore/27622,Filippo,Sensi,M,2023-03-21,19,elettivo
http://dati.senato.it/senatore/36424,Etelwardo,Sigismondi,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36445,Francesco,Silvestro,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/33137,Marco,Silvestroni,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36425,Elena,Sironi,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36446,Sandro,Sisler,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/22263,Francesco Paolo,Sisto,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36426,Luigi,Spagnolli,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36427,Nicoletta,Spelgatti,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36428,Raffaele,Speranzon,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36447,Domenica,Spinelli,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/29185,Erika,Stefani,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/37739,Cristina,Tajani,F,2023-05-31,19,elettivo
http://dati.senato.it/senatore/37415,Daniela,Ternullo,F,2023-01-18,19,elettivo
http://dati.senato.it/senatore/28550,Giuliomaria,Terzi Di Sant'Agata,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32721,Elena,Testor,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/30915,Paolo,Tosato,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36448,Antonio Salvatore,Trevisi,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36449,Francesca,Tubetti,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32726,Mario,Turco,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32727,Julia,Unterberger,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/2444,Adolfo,Urso,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/29604,Valeria,Valente,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/28924,Francesco,Verducci,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/25377,Walter,Verini,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/33027,Giusy,Versace,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32732,Francesco,Zaffini,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36429,Ylenia,Zambito,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/24016,Sandra,Zampa,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/17811,Pierantonio,Zanettin,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/33038,Paolo,Zangrillo,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36430,Antonella,Zedda,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36450,Ignazio,Zullo,M,2022-10-13,19,elettivo
