nome,ufficio,anno
DE AMICIS Lucia,Dipartimento per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie Direzione Centrale per le Risorse Finanziarie e Strumentali,2019
MORO Annamaria,Dipartimento per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie Direzione Centrale per le Risorse Finanziarie e Strumentali,2019
PRIMON Claudio,Dipartimento per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie Direzione Centrale per le Risorse Finanziarie e Strumentali,2019
TAVANI Paolo Gaetano,Dipartimento per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie Direzione Centrale per le Risorse Finanziarie e Strumentali,2019
GUARINO Antonio,Dipartimento per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie Direzione Centrale per le Risorse Finanziarie e strumentali,2019
FISCHETTI Francesco Paolo,Dipartimento per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie Direzione Centrale per le Risorse Umane,2019
PETTI Giulia,Dipartimento per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie Direzione Centrale per le Risorse Umane,2019
LA ROSA Letterio,Questura di Bologna,2019
TORRISI Giuseppe,Questura di Catania,2019
ESPOSITO Maurizio,Questura di Milano,2019
AZZALI Viviana,Questura di Roma,2019
MELISSE Massimo,Questura di Roma,2019
MANZI Vincenza,Questura di Salerno,2019
PAPALE Antonio,UTG Caserta,2019
GIARDINI Rosa,UTG di Ascoli Piceno,2019
FILIPPO Michele,UTG di Bari,2019
MAIELLO Giulia,UTG di Brindisi,2019
NAVONI MONTIS Giuseppe,UTG di Cagliari,2019
ATTILI Gianfranco,UTG di Chieti,2019
ACCHIARDI Roberto Costanzo,UTG di Cuneo,2019
PIETRA Claudia Daniela,UTG di Cuneo,2019
MARTINI Gianluca,UTG di Fermo,2019
GIORGI Roberto,UTG di Firenze,2019
FOTI Maria Carmela,UTG di Genova,2019
NAPOLITANO Lucia,UTG di Grosseto,2019
SODANO Renato,UTG di Modena,2019
RIZZO Immacolata Antonella,UTG di Padova,2019
STORACI Alessandro,UTG di Ragusa,2019
CRUPI Pasquale,UTG di Reggio Calabria,2019
DEL GIGLIO Salvatore,UTG di Reggio Calabria,2019
BUZZI Pierluigi,UTG di Rieti,2019
PASQUINI Tiziana,UTG di Rieti,2019
CARLINO Daniela,UTG di Trapani,2019
RIBECCO Angela,UTG di Trento,2019
BOCCACCI Alessandro,UTG di Venezia,2019
BOTTI Roberto,Dipartimento Affari Interni e Territoriali,2020
MONTALI Flavia,Dipartimento Affari Interni e Territoriali,2020
MOSCUCCI Gianfranco,Dipartimento Affari Interni e Territoriali,2020
BIDOLLI Pietro,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2020
D'ANGELO Brunella,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2020
DI BERARDINO Lorenzo,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2020
DI PAOLA Tiziana,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2020
FORNACIARI Fabiana,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2020
MANCINI Giulio,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2020
MASCIARELLI Luca,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2020
MORRA Rosanna,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2020
ANDREOZZI Loretana,Dipartimento della Pubblica Sicurezza,2020
CARDUCCI Cristina,Dipartimento della Pubblica Sicurezza,2020
DI FELICE Marina,Dipartimento della Pubblica Sicurezza,2020
GUIDA Raffaele,Dipartimento della Pubblica Sicurezza,2020
LARATTA Caterina,Dipartimento della Pubblica Sicurezza,2020
MONTANARO Giuseppe,Dipartimento della Pubblica Sicurezza,2020
PICOTTI Stefania,Dipartimento della Pubblica Sicurezza,2020
RICCIARDI Francesco,Dipartimento della Pubblica Sicurezza,2020
SPIRIDIONE Antonietta Nadia,Dipartimento della Pubblica Sicurezza,2020
DELLE ROSE MELCHIORRE Filomena,Dipartimento delle Libertà Civili,2020
DI GIULIANO Veneranda,Dipartimento delle Libertà Civili,2020
PUSOLE Stefano,Dipartimento delle Libertà Civili,2020
TRAMONTOZZI Sara,Dipartimento delle Libertà Civili,2020
AMATO Amelia,Dipartimento per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie,2020
ESPOSITO Marina,Dipartimento per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie,2020
FILIPPONI Luca,Dipartimento per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie,2020
FORTINO Maria,Dipartimento per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie,2020
FRACCHIOLLA Angela,Dipartimento per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie,2020
GUARINO Antonio,Dipartimento per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie,2020
PES Massimo,Questura di Cagliari,2020
AMENDOLIA Cristina,Questura di Catanzaro,2020
SCAGLIONE Antonino,Questura di Palermo,2020
MELISSE Massimo,Questura di Roma,2020
ROMANO Luigi,Questura di Roma,2020
PERSIA Patrizia Rosalba,Questura di Venezia,2020
GUGLIELMI Giovanni,UTG di Barletta Adria Trani,2020
CIAMBRIELLO Giovanna,UTG di Benevento,2020
FABBRI Anne Marie,UTG di Forlì Cesena,2020
COCCARO Pasquale,UTG di Genova,2020
COZZANI Patrizia,UTG di La Spezia,2020
NENNA Matteo Nicola,UTG di Lecce,2020
DE LILLO Antonietta,UTG di Lodi,2020
PARATORE Giuseppa,UTG di Messina,2020
GIORDANO Vittorio,UTG di Milano,2020
DE MARTINO Raffaella,UTG di Potenza,2020
DI TONDO Elena,UTG di Ravenna,2020
CHIARI Carlo,UTG di Reggio Emilia,2020
DI LIDDO Francesca,UTG di Reggio Emilia,2020
SOMASCA Elena,UTG di Roma,2020
TURCHI Stefania,UTG di Roma,2020
COGNETTA Ornella,UTG di Siena,2020
PANSONI Serenella,UTG di Sondrio,2020
IMPORTUNO Annachiara,UTG di Taranto,2020
DI LORENZO Matteo,UTG di Teramo,2020
BELLOMO Antonio,UTG di Torino,2020
STALLONE Francesca,UTG di Torino,2020
PRIAMO Maria,UTG di Treviso,2020
CAPUTO Giovanna,UTG di Trieste,2020
CULINI Giancarlo,Dipartimento Affari Interni e Territoriali,2021
PULEIO Domenico,Dipartimento Affari Interni e Territoriali,2021
CASSESE Anna Maria,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2021
CIMINI David,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2021
DI BERARDINO Lorenzo,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2021
DI PAOLA Tiziana,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2021
FORNACIARI Fabiana,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2021
MANZO Maria Rosalba,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2021
MARTINELLI Domenico,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2021
PACCHI Loredana,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2021
PASQUALI Alessandra,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2021
SALVATO Rosalba,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2021
SPARACINO Maria Laura,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2021
BICCHI Cinzia,Dipartimento della Pubblica Sicurezza,2021
CHIERICHETTI Laura,Dipartimento della Pubblica Sicurezza,2021
CROCIANI Catia,Dipartimento della Pubblica Sicurezza,2021
DE MICHELE Laura,Dipartimento della Pubblica Sicurezza,2021
DONATI Alessandra,Dipartimento della Pubblica Sicurezza,2021
MONTANARO Giuseppe,Dipartimento della Pubblica Sicurezza,2021
RUSCITTI Angela Maria,Dipartimento della Pubblica Sicurezza,2021
SPLENDORE Pierluigi,Dipartimento della Pubblica Sicurezza,2021
TOZZI Maurizio,Dipartimento della Pubblica Sicurezza,2021
UGLIANO Maria Luisa,Dipartimento della Pubblica Sicurezza,2021
CANZOLINO Donatella,Dipartimento delle Libertà Civili,2021
IUOZZO Carmine,Dipartimento delle Libertà Civili,2021
GUARINO Antonio,"Dipartimento per l'Amministrazione Generale, per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie",2021
SANTONI Anna Maria,"Dipartimento per l'Amministrazione Generale, per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie",2021
AMATO Amelia,Direzione Centrale per le Risorse Finanziarie e strumentali,2021
IMPAGLIAZZO Chiara,Direzione Centrale per le politiche del personale dell'amministrazione civile,2021
PETTI Giulia,Direzione Centrale per le politiche del personale dell'amministrazione civile,2021
STRINATI Rosa Maria,Direzione Centrale per le politiche del personale dell'amministrazione civile,2021
RUSSO Giuseppe,Questura di Catania,2021
STRANO Francesco,Questura di Firenze,2021
NUCERA Antonina,Questura di Reggio Calabria,2021
ADINOLFI Lucia,Questura di Salerno,2021
GRAVINO Arturo,Questura di Salerno,2021
BORTALI Donatella,UTG Venezia,2021
MARTINI Gianluca,UTG d Fermo,2021
CINTI Claudio,UTG di Alessandria,2021
SCARAMOZZINO Iris,UTG di Alessandria,2021
GIUSTI Federica,UTG di Barletta Adria Trani,2021
SOLINAS Paola,UTG di Cagliari,2021
CALENDA Antonio,UTG di Catanzaro,2021
PENDOLINO Maria Ada,UTG di Cremona,2021
IASCI Carmela,UTG di Ferrara,2021
COLUCCI Luigi,UTG di Firenze,2021
MINASSO Carla,UTG di Imperia,2021
SCHIEPPATI Massimo,UTG di Milano,2021
ESCOLI Cinzia,UTG di Monza Brianza,2021
TOME' Daniela,UTG di Padova,2021
DI GIOVANNI Vincenzo,UTG di Palermo,2021
LATTEO Saverio Roberto,UTG di Palermo,2021
CHIRICO Donato,UTG di Piacenza,2021
STORACI Alessandro,UTG di Ragusa,2021
TRIPODI Marialuisa,UTG di Reggio Calabria,2021
SOMASCA Elena,UTG di Roma,2021
FAZIO Valeria,UTG di Savona,2021
GIANFREDA Francesco,UTG di Torino,2021
CUCCHIARO Daniela Desi,UTG di Udine,2021
GROSSI Paola,Commissario Straordinario Antiracket e Antiusura,2022
ALFANO Marco,Dipartimento Affari Interni e Territoriali,2022
BARBATI Gianna,Dipartimento Affari Interni e Territoriali,2022
D'ANGELO Antonio,Dipartimento Affari Interni e Territoriali,2022
DI SALVATORE Nunzia,Dipartimento Affari Interni e Territoriali,2022
IATOMASI Giuseppe,Dipartimento Affari Interni e Territoriali,2022
MANCINI Giulio,Dipartimento Affari Interni e Territoriali,2022
SALVATO Rosalba,Dipartimento Affari Interni e Territoriali,2022
DE PAOLA Gioconda,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2022
DELLA VECCHIA Corrado,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2022
DI BERARDINO Lorenzo,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2022
DI PAOLA Tiziana,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2022
FATINI Cristina,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2022
FILOSA Francesco,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2022
FORNACIARI Fabiana,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2022
IOLLO Sergio,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2022
RICCIARDI Francesco,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2022
SPARACINO Maria Laura,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2022
BUCCHIERI Annalisa,Dipartimento della Pubblica Sicurezza,2022
DI FELICE Marina,Dipartimento della Pubblica Sicurezza,2022
FORNARO Maria Pia,Dipartimento della Pubblica Sicurezza,2022
IACOVACCI Dario,Dipartimento della Pubblica Sicurezza,2022
MONTANARO Giuseppe,Dipartimento della Pubblica Sicurezza,2022
BRUZICHES Alessandra,Dipartimento delle Libertà Civili,2022
BUCCINI Valter,Dipartimento delle Libertà Civili,2022
PASTORELLO Maria Giovanna,Dipartimento delle Libertà Civili,2022
SAVELLI Giuseppina,Dipartimento delle Libertà Civili,2022
SINIBALDI Serena,Dipartimento delle Libertà Civili,2022
DE SANTIS Maria Paola,"Dipartimento per l'Amministrazione Generale, per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie",2022
FERRI Paolo,"Dipartimento per l'Amministrazione Generale, per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie",2022
GEMMELLARO Giuseppe,"Dipartimento per l'Amministrazione Generale, per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie",2022
IULIANI Floriano,"Dipartimento per l'Amministrazione Generale, per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie",2022
MANNARINO Salvatore,"Dipartimento per l'Amministrazione Generale, per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie",2022
SBARRA Anna Maria,"Dipartimento per l'Amministrazione Generale, per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie",2022
TEMPESTA Marco,"Dipartimento per l'Amministrazione Generale, per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie",2022
VISCARDI Antonio,"Dipartimento per l'Amministrazione Generale, per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie",2022
MONNATI Erika,Direzione Centrale Amministrazione Generale e per le Prefetture -UTG,2022
CAPUTO Pier Luigi,Direzione Centrale per le Risorse Finanziarie e strumentali,2022
DE LAURENTIS Nadia,Direzione Centrale per le Risorse Finanziarie e strumentali,2022
FISCHETTI Francesco Paolo,Direzione Centrale per le politiche del personale dell'amministrazione civile,2022
SCARAPAZZI Catia,Direzione Centrale per le politiche del personale dell'amministrazione civile,2022
TULIPANO Francesco Emmanuele,Direzione Centrale per le politiche del personale dell'amministrazione civile,2022
DELLE FAVE Roberto,Questura di Genova,2022
FEOLA Antonella,Questura di Imperia,2022
TOMASELLO Antonina,Questura di Milano,2022
IMPARATO Franco,Questura di Napoli,2022
VENTO Fiorella,Questura di Napoli,2022
SCAGLIONE Antonino,Questura di Palermo,2022
FIGUNDIO Paola Maria Grazia,Questura di Potenza,2022
CARIDI Luciano,Questura di Reggio Calabria,2022
AZZALI Viviana,Questura di Roma,2022
DI FRANCESCO Paolo,Questura di Roma,2022
MELISSE Massimo,Questura di Roma,2022
ROMANO Luigi,Questura di Roma,2022
MANZI Vincenza,Questura di Salerno,2022
PERSIA Patrizia Rosalba,Questura di Venezia,2022
CARNICELLA Nicoletta,Struttura di Missione Prevenzione e Contrasto Antimafia Sisma,2022
MONDELLO Maria Rosa,UTG Vicenza,2022
SCARAMOZZINO Iris,UTG di Alessandria,2022
SPINAZZOLA Maria Luisa,UTG di Alessandria,2022
SOPRANZETTI Gabriella,UTG di Ascoli Piceno,2022
SPALATO CERUSO Anna Maria,UTG di Avellino,2022
CANTORO Mariangela,UTG di Bari,2022
CASSANO Giandonato,UTG di Bari,2022
BONADIE Paolo,UTG di Barletta Adria Trani,2022
BONGERMINO Loredana,UTG di Bologna,2022
MIGLIOZZI Antonia,UTG di Campobasso,2022
CERIELLO Angelo,UTG di Caserta,2022
LONGARI Maura,UTG di Cremona,2022
CHIAVASSA Marina,UTG di Cuneo,2022
FACHIN Franca,UTG di Cuneo,2022
MARTINI Gianluca,UTG di Fermo,2022
LANDRISCINA Antonio,UTG di Firenze,2022
SALVI Cristiana,UTG di Forlì Cesena,2022
OGGIANU Alessandra,UTG di Genova,2022
VASSALLO Laura,UTG di Genova,2022
NAPOLITANO Lucia,UTG di Grosseto,2022
NISTICO' Annalisa,UTG di La Spezia,2022
MASELLI Simona Maria,UTG di Lecce,2022
FEDI Patrizia,UTG di Lucca,2022
PARATORE Giuseppa,UTG di Messina,2022
CATALANO Sebastiano Antonio Giuseppe,UTG di Milano,2022
DE SANTIS Gennaro,UTG di Napoli,2022
FERRARELLI Marco,UTG di Oristano,2022
PATTI Giuseppina,UTG di Palermo,2022
DI GIOVANNI Vincenzo,UTG di Pavia,2022
TUSCANO Carmelo,UTG di Pavia,2022
DE STEFANO Stefania,UTG di Pisa,2022
ANASTASIO Anna,UTG di Pistoia,2022
CASTELLI Antonio,UTG di Pordenone,2022
MAIO Domenica Maria,UTG di Potenza,2022
DE FAZIO Elisabetta,UTG di Prato,2022
MARAZZITA Maria Carmela,UTG di Reggio Calabria,2022
CAROLI Andrea,UTG di Reggio Emilia,2022
CARBINI Carlo,UTG di Salerno,2022
ZAMBRANO Enza,UTG di Salerno,2022
VOZZA Roberto,UTG di Taranto,2022
IERACE Luigi,UTG di Torino,2022
MARTINI Angelo,UTG di Torino,2022
CILLO Alfredo Gerardo,UTG di Treviso,2022
LEVANE Gerardo,UTG di Treviso,2022
CIOFFI Angela,UTG di Trieste,2022
AMATO Amelia,Uffici di diretta collaborazione,2022
ANGELINI Fabio,D.C. Affari dei culti e per l' ammin. del FEC - Ufficio IV,2023
RANTICA Nicoletta,D.C. Programmazione e servizi generali - Ufficio V Affari economico finanziari e Fondo lire U.N.R.R.A.,2023
SOZIO Nadia,D.C. Servizi Civili per l'Immigrazione e l'Asilo - Ufficio IV Unità Dublino,2023
SALVATO Rosalba,Direzione Centrale per i Servizi Elettorali Ufficio II - Organizzazione delle consultazioni elettorali e referendarie,2023
PACELLA Roberto,"Direzione Centrale per la Finanza Locale Ufficio I - Studi, consulenza giuridica e contenzioso in materia di finanza locale",2023
FESTA Anna Rita,Direzione Centrale per le Autonomie Ufficio V- Affari enti locali,2023
TURANO Laura,"D.C. Diritti Civili, Cittadinanza e Minoranze",2024
RESCIGNO Annarita,D.C. Politiche Migratorie Autorità FAMI,2024
SALVATO Rosalba,Direzione Centrale per i Servizi Elettorali,2024
GASPARI Oscar,Direzione Centrale per la Finanza Locale,2024
TONETTI Alessandra,Direzione Centrale per le Autonomie,2024
COMUNE Francesco,Direzione Centrale per le Politiche del Personale dell'Amministrazione Civile Uff IX - Affari legali e contenzioso per il personale contrattualizzato,2024
TULIPANO Francesco Emmanuele,Direzione Centrale per le Politiche del Personale dell'Amministrazione Civile Ufficio I - Pianificazione e politiche del personale,2024
AMATO Amelia,Direzione Centrale per le Risorse Finanziarie e Strumentali Ufficio VII - Trattamento dei dati previdenziali a fini pensionistici,2024
IMPAGLIAZZO Chiara,Ufficio IV di Staff - Relazioni Internazionali,2024
IAZZETTI Mariacarla,Commissione Nazionale Asilo,2025
TEDDE Matteo,Direzione Centrale dei Servizi Civili,2025
SALVATO Rosalba,Direzione Centrale per i Servizi Elettorali,2025
LANZERI Teresa,Direzione Centrale per la Finanza Locale,2025
CAPOSSELE Alfonso,Direzione Centrale per la Programmazione e l Servizi Generali,2025
PICIARELLI Roberta,Direzione Centrale per le Autonomie,2025
SCELSI Rosario,Direzione Centrale per le Politiche del Personale dell'Amministrazione Civile Ufficio I Gabinetto del Capo Dipartimento,2025
ZEGRETTI Teresa,Direzione Centrale per le Politiche del Personale dell'Amministrazione Civile Ufficio VII Amministrazione del personale delle aree seconda e prima,2025
AMATO Amelia,Direzione Centrale per le Risorse Finanziarie e Strumentali Uffici VII Trattamento dati previdenziali a fini pensionistici,2025
GHIRARDI ROBERTA,UTG di Brescia,Dal 1.1.19 al 3.4.19
MARIA PIA CONSOLE,UTG di Brescia,Dal 4.4.2019
